game_id,time,P0_species,P0_Ability,P0_AddToControlGroup,P0_Camera,P0_ControlGroup,P0_GetControlGroup,P0_RightClick,P0_Selection,P0_SetControlGr6oup,P1_species,P1_Ability,P1_AddToControlGroup,P1_Camera,P1_ControlGroup,P1_GetControlGroup,P1_RightClick,P1_Selection,P1_SetControlGr6oup,winner,diff_Ability,diff_AddToControlGroup,diff_Camera,diff_ControlGroup,diff_GetControlGroup,diff_RightClick,diff_Selection,diff_SetControlGr6oup
0,7.24,T,34,2,444,0,24,35,50,3,T,34,0,425,0,3,28,57,1,1,0,-2,-19,0,-21,-7,7,-2
1,9.59,P,77,1,627,0,162,160,186,10,T,67,0,858,0,31,131,116,8,1,-10,-1,231,0,-131,-29,-70,-2
2,9.59,P,69,6,413,0,99,160,90,14,Z,85,5,725,2,109,204,232,9,0,16,-1,312,2,10,44,142,-5
3,9.59,T,82,0,713,0,132,276,180,6,P,89,0,388,0,710,268,148,19,0,7,0,-325,0,578,-8,-32,13
4,5.39,T,57,1,430,0,224,177,67,10,Z,36,4,272,0,99,106,126,8,0,-21,3,-158,0,-125,-71,59,-2
5,9.59,P,66,0,210,0,21,337,138,3,P,51,0,687,0,0,77,62,0,0,-15,0,477,0,-21,-260,-76,-3
6,7.07,P,39,0,324,0,27,131,76,12,T,55,5,265,0,842,141,155,4,1,16,5,-59,0,815,10,79,-8
7,7.28,Z,53,0,315,0,43,79,148,17,P,64,6,508,0,192,303,87,5,0,11,6,193,0,149,224,-61,-12
8,9.54,T,45,4,327,0,13,35,63,0,Z,52,3,236,0,15,39,177,1,1,7,-1,-91,0,2,4,114,1
9,3.49,P,18,3,171,0,111,108,139,2,Z,19,5,246,0,17,36,51,0,1,1,2,75,0,-94,-72,-88,-2
10,9.58,P,79,0,477,0,52,218,189,4,T,84,3,551,0,566,156,104,1,0,5,3,74,0,514,-62,-85,-3
11,9.58,Z,42,5,804,0,25,139,120,0,T,54,0,491,0,0,52,98,0,1,12,-5,-313,0,-25,-87,-22,0
12,6.41,T,37,0,419,0,5,73,78,14,Z,39,1,198,0,82,79,132,2,1,2,1,-221,0,77,6,54,-12
13,10.32,P,49,4,621,0,19,219,85,4,Z,51,2,899,0,25,127,197,0,1,2,-2,278,0,6,-92,112,-4
14,4.27,P,18,1,288,0,3,86,36,2,P,24,0,262,0,322,111,91,5,1,6,-1,-26,0,319,25,55,3
15,3.39,T,23,2,81,0,156,39,64,8,T,20,0,338,0,20,98,44,4,0,-3,-2,257,0,-136,59,-20,-4
16,9.59,T,42,6,855,0,8,159,85,0,P,64,10,523,0,138,409,91,1,0,22,4,-332,0,130,250,6,1
17,4.35,T,32,11,242,0,542,89,114,6,P,23,3,237,0,2,114,31,0,0,-9,-8,-5,0,-540,25,-83,-6
18,4.55,Z,26,0,228,0,47,68,103,5,Z,42,0,82,0,41,126,95,7,1,16,0,-146,0,-6,58,-8,2
19,9.59,T,86,1,769,0,306,246,104,14,Z,78,3,543,0,333,190,272,4,1,-8,2,-226,0,27,-56,168,-10
20,10.18,Z,61,2,346,0,58,259,250,3,T,94,0,526,0,50,305,180,9,0,33,-2,180,0,-8,46,-70,6
21,10.32,Z,64,0,657,0,54,228,182,2,P,69,1,935,0,12,155,78,0,1,5,1,278,0,-42,-73,-104,-2
22,9.59,T,73,0,513,0,95,65,119,6,Z,68,0,485,0,59,170,187,2,1,-5,0,-28,0,-36,105,68,-4
23,7.4,P,43,5,673,0,486,144,71,4,T,60,3,505,0,220,140,92,5,1,17,-2,-168,0,-266,-4,21,1
24,6.1,Z,40,0,313,0,33,87,108,2,T,42,6,418,0,35,96,41,0,1,2,6,105,0,2,9,-67,-2
25,5.55,T,49,1,352,0,54,138,60,1,Z,36,1,250,0,35,73,120,0,0,-13,0,-102,0,-19,-65,60,-1
26,3.11,T,11,0,313,0,0,21,25,0,Z,14,0,280,0,16,14,65,13,0,3,0,-33,0,16,-7,40,13
27,3.22,P,27,0,110,0,54,151,60,7,P,23,0,95,0,2,44,28,4,1,-4,0,-15,0,-52,-107,-32,-3
28,9.59,P,81,4,650,0,536,208,64,13,T,142,5,761,0,1145,266,205,9,0,61,1,111,0,609,58,141,-4
29,7.08,T,66,0,252,0,492,200,231,3,T,73,3,252,0,82,242,127,17,0,7,3,0,0,-410,42,-104,14
30,4.2,P,28,0,188,0,45,198,45,7,Z,22,0,148,0,97,159,109,5,1,-6,0,-40,0,52,-39,64,-2
31,5.22,T,17,1,161,0,11,62,33,2,P,24,0,348,0,81,158,66,4,0,7,-1,187,0,70,96,33,2
32,2.08,Z,10,1,28,0,112,28,87,2,Z,6,3,12,0,122,44,29,0,1,-4,2,-16,0,10,16,-58,-2
33,3.22,Z,14,1,105,0,183,98,88,7,Z,15,4,78,0,305,31,92,1,0,1,3,-27,0,122,-67,4,-6
34,9.12,P,66,0,493,0,65,195,93,9,Z,79,1,656,0,157,289,295,6,0,13,1,163,0,92,94,202,-3
35,9.59,Z,45,0,194,0,408,317,560,2,T,63,0,587,0,184,129,139,8,1,18,0,393,0,-224,-188,-421,6
36,8.31,Z,63,0,665,0,22,136,160,4,T,36,0,642,0,60,119,72,2,1,-27,0,-23,0,38,-17,-88,-2
37,9.24,P,35,0,907,1,4,293,50,0,Z,35,0,584,0,7,55,169,1,0,0,0,-323,-1,3,-238,119,1
38,7.37,Z,54,2,326,0,61,54,133,4,T,59,5,431,0,31,177,132,4,1,5,3,105,0,-30,123,-1,0
39,4,T,15,0,261,0,190,129,57,4,T,25,0,238,0,89,76,46,6,0,10,0,-23,0,-101,-53,-11,2
40,4.05,Z,20,0,99,0,0,24,58,1,T,23,0,152,0,226,61,116,3,1,3,0,53,0,226,37,58,2
41,5.13,P,22,0,137,0,0,36,25,0,T,19,0,250,0,7,49,42,2,0,-3,0,113,0,7,13,17,2
42,9.58,T,52,0,760,0,37,53,68,6,T,30,0,524,0,0,33,62,0,0,-22,0,-236,0,-37,-20,-6,-6
43,9.58,P,33,0,331,0,0,59,76,1,Z,28,0,255,0,0,59,110,0,0,-5,0,-76,0,0,0,34,-1
44,5.44,P,22,0,426,0,23,34,40,1,Z,22,0,82,0,0,60,74,0,0,0,0,-344,0,-23,26,34,-1
45,5.06,T,41,0,211,0,186,160,82,16,Z,28,0,412,0,57,128,162,6,1,-13,0,201,0,-129,-32,80,-10
46,7.37,Z,46,0,513,0,63,61,136,3,Z,45,1,364,0,125,184,226,10,1,-1,1,-149,0,62,123,90,7
47,9.59,Z,74,8,548,0,49,204,237,0,P,83,2,490,0,57,367,95,5,1,9,-6,-58,0,8,163,-142,5
48,5.02,P,21,2,441,0,26,57,30,4,T,24,0,297,0,27,133,39,1,1,3,-2,-144,0,1,76,9,-3
49,2.5,Z,7,0,131,0,6,34,35,6,Z,12,2,156,0,375,15,27,2,1,5,2,25,0,369,-19,-8,-4
50,8.25,T,93,1,355,0,186,182,116,7,Z,52,9,330,0,227,244,397,8,1,-41,8,-25,0,41,62,281,1
51,6.59,Z,34,3,190,0,65,43,160,9,P,36,0,611,0,5,75,59,7,0,2,-3,421,0,-60,32,-101,-2
52,6.21,P,38,6,301,0,20,65,45,0,P,36,7,403,0,71,119,67,1,1,-2,1,102,0,51,54,22,1
53,6.5,T,50,4,175,0,45,59,130,0,P,36,0,339,0,60,123,39,12,1,-14,-4,164,0,15,64,-91,12
54,3.13,T,15,0,164,0,5,16,24,2,Z,11,2,29,0,316,20,40,1,1,-4,2,-135,0,311,4,16,-1
55,5.38,T,30,4,134,0,222,53,276,0,T,38,0,263,0,276,203,87,14,0,8,-4,129,0,54,150,-189,14
56,10.41,Z,69,3,401,0,36,104,256,0,P,44,0,579,0,0,135,93,2,1,-25,-3,178,0,-36,31,-163,2
57,9.59,T,67,3,663,0,54,247,89,4,P,46,3,447,0,11,190,88,0,0,-21,0,-216,0,-43,-57,-1,-4
58,8.21,P,34,0,372,0,12,167,102,2,P,46,0,359,0,72,84,45,5,0,12,0,-13,0,60,-83,-57,3
59,5.15,P,28,0,344,0,9,180,39,5,P,36,0,423,0,105,144,58,6,0,8,0,79,0,96,-36,19,1
60,9.59,P,39,0,362,0,19,57,52,1,T,38,0,408,0,0,32,51,0,0,-1,0,46,0,-19,-25,-1,-1
61,5.56,Z,30,3,215,0,31,215,264,2,P,34,3,390,0,85,96,89,0,1,4,0,175,0,54,-119,-175,-2
62,9.59,P,58,7,700,0,144,145,103,1,Z,40,0,679,0,40,188,128,8,0,-18,-7,-21,0,-104,43,25,7
63,9.59,T,76,0,674,0,39,202,161,12,T,76,9,364,0,24,182,117,2,0,0,9,-310,0,-15,-20,-44,-10
64,10.59,T,80,5,439,0,136,133,110,6,P,53,1,505,0,6,283,95,1,1,-27,-4,66,0,-130,150,-15,-5
65,2.17,Z,7,0,87,0,11,41,19,3,Z,5,0,43,0,1,40,55,1,1,-2,0,-44,0,-10,-1,36,-2
66,7.35,T,39,1,745,0,3,190,57,1,T,29,0,402,0,0,71,64,0,0,-10,-1,-343,0,-3,-119,7,-1
67,4.32,Z,27,0,147,0,352,141,134,6,P,35,0,281,0,417,158,73,14,1,8,0,134,0,65,17,-61,8
68,6.05,T,28,0,186,0,3,68,120,1,Z,24,0,284,0,0,43,76,0,0,-4,0,98,0,-3,-25,-44,-1
69,9.59,P,36,0,943,0,0,138,82,0,T,55,1,699,0,167,167,61,0,1,19,1,-244,0,167,29,-21,0
70,7.52,P,61,0,249,0,83,295,197,3,Z,40,0,263,0,144,182,199,6,1,-21,0,14,0,61,-113,2,3
71,6.45,T,35,0,382,0,0,51,79,0,T,36,0,138,0,4,49,49,3,1,1,0,-244,0,4,-2,-30,3
72,9.59,T,65,0,537,0,4,116,107,1,P,43,0,248,0,3,88,63,2,0,-22,0,-289,0,-1,-28,-44,1
73,9.42,P,55,0,452,0,10,259,47,4,Z,61,2,636,0,16,191,186,0,1,6,2,184,0,6,-68,139,-4
74,9.59,T,84,0,784,0,184,220,151,9,T,79,6,325,0,145,141,322,6,1,-5,6,-459,0,-39,-79,171,-3
75,3.24,P,16,2,168,0,90,77,17,0,Z,11,0,207,0,11,21,34,1,1,-5,-2,39,0,-79,-56,17,1
